user_id,start_date,end_date
1,2024-04-12,
2,2024-06-28,2024-08-29
3,2024-04-02,2024-05-06
4,2024-01-15,
5,2024-04-16,2024-04-23
6,2024-03-12,
7,2024-01-21,
8,2024-04-12,
9,2024-05-01,
10,2024-03-15,2024-05-02
11,2024-03-28,2024-06-24
12,2024-04-26,2024-06-19
13,2024-04-09,
14,2024-04-13,
15,2024-05-31,
16,2024-05-10,2024-06-25
17,2024-05-29,
18,2024-02-22,2024-05-01
19,2024-01-02,
20,2024-03-28,
21,2024-06-06,2024-08-27
22,2024-02-07,
23,2024-05-09,
24,2024-01-21,2024-04-08
25,2024-06-09,
26,2024-02-27,2024-05-23
27,2024-01-22,
28,2024-03-29,2024-04-08
29,2024-02-18,2024-04-02
30,2024-02-28,
31,2024-06-18,
32,2024-01-15,2024-02-17
33,2024-06-23,
34,2024-02-20,2024-03-06
35,2024-04-17,
36,2024-02-24,
37,2024-03-04,2024-03-26
38,2024-05-10,2024-07-11
39,2024-02-20,
40,2024-05-14,2024-08-04
41,2024-01-21,
42,2024-03-13,
43,2024-06-15,2024-07-22
44,2024-01-18,2024-02-07
45,2024-05-11,2024-06-11
46,2024-03-29,
47,2024-02-29,
48,2024-01-14,
49,2024-01-09,
50,2024-03-30,
51,2024-02-22,2024-04-02
52,2024-05-09,
53,2024-03-24,2024-06-05
54,2024-04-01,2024-05-01
55,2024-04-20,
56,2024-06-20,2024-09-07
57,2024-01-08,2024-02-09
58,2024-06-23,
59,2024-02-04,
60,2024-03-21,
61,2024-06-12,
62,2024-02-19,2024-03-16
63,2024-04-13,
64,2024-05-11,2024-07-20
65,2024-01-02,2024-01-18
66,2024-05-13,
67,2024-02-23,2024-05-22
68,2024-04-15,
69,2024-01-04,
70,2024-02-23,2024-05-06
71,2024-05-25,
72,2024-02-13,
73,2024-06-10,
74,2024-01-14,
75,2024-04-04,2024-05-04
76,2024-02-17,
77,2024-01-15,
78,2024-02-09,
79,2024-03-22,2024-04-02
80,2024-04-20,
81,2024-02-22,
82,2024-01-24,
83,2024-06-02,
84,2024-05-03,2024-07-15
85,2024-02-10,2024-04-14
86,2024-06-05,
87,2024-01-15,2024-02-17
88,2024-02-14,
89,2024-03-05,2024-05-30
90,2024-03-29,2024-04-19
91,2024-03-11,
92,2024-01-09,2024-02-19
93,2024-03-28,2024-06-18
94,2024-05-08,
95,2024-05-15,
96,2024-03-03,
97,2024-05-18,2024-07-16
98,2024-03-21,2024-05-10
99,2024-05-15,2024-06-16
100,2024-06-11,2024-08-03
101,2024-06-11,
102,2024-02-02,2024-03-13
103,2024-05-02,2024-06-27
104,2024-01-05,
105,2024-02-10,
106,2024-01-28,2024-02-15
107,2024-05-14,
108,2024-03-12,2024-03-22
109,2024-01-12,
110,2024-06-10,
111,2024-02-02,2024-03-27
112,2024-02-17,
113,2024-05-30,
114,2024-03-02,
115,2024-02-06,2024-04-07
116,2024-04-08,
117,2024-06-20,2024-06-27
118,2024-04-13,
119,2024-02-04,2024-04-16
120,2024-04-10,2024-05-16
121,2024-06-23,
122,2024-05-10,
123,2024-01-01,
124,2024-01-05,
125,2024-05-21,
126,2024-04-12,
127,2024-01-27,
128,2024-05-16,
129,2024-01-15,
130,2024-03-30,
131,2024-02-11,2024-02-20
132,2024-05-03,
133,2024-06-27,
134,2024-03-03,
135,2024-04-05,2024-05-02
136,2024-02-21,2024-04-16
137,2024-04-05,2024-06-12
138,2024-05-11,2024-06-24
139,2024-05-30,
